Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
-79.225148191,10465.7205552772,-100.7569965945
0,10465.7205552772,-100
0,10465.7205552772,-100
-739.2675617808,10465.7205552772,-107.063704385
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
333.0396311219,10465.7205552772,-96.8178050488
5885.9121868989,10465.7205552772,-43.7600865052
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
1225.1780227364,10465.7205552772,-88.2934192991
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
19.0349859365,10465.7205552772,-99.8181206365
137.1244731751,10465.7205552772,-98.6897751335
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
0,10465.7205552772,-100
